EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,DistanceFromHome_KM,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,OverTime,StockOptionLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,Attrition,Reason_Category,Exit_Reason_HR_Recorded,Retention_Attempted,Retention_Action_Taken,Retained,Retention_Outcome_Reason
EMP00001,36,Male,Divorced,Marketing,Marketing Executive,Human Resources,2,Travel_Rarely,1,57958,11,18,5,3,0,5,1,Yes,0,3,1,4,1,4,4,No,,,NA,NA,NA,Employee did not resign
EMP00002,29,Male,Divorced,R&D,Laboratory Technician,Medical,5,Travel_Rarely,3,69461,15,11,0,0,0,3,1,No,0,1,3,1,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00003,40,Male,Single,Finance,Financial Analyst,Technical Degree,2,Travel_Rarely,8,95778,14,22,7,2,0,6,5,No,1,4,4,4,4,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00004,20,Male,Divorced,IT,Software Engineer,Computer Science,2,Travel_Rarely,7,63121,15,16,12,10,2,0,2,Yes,1,1,2,1,3,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00005,36,Female,Single,Finance,Finance Manager,Marketing,4,Travel_Rarely,7,95680,12,18,10,7,4,4,0,No,1,3,4,3,3,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00006,31,Male,Single,Human Resources,HR Manager,Business,1,Travel_Frequently,1,26787,18,14,5,3,1,3,5,No,2,2,2,3,2,4,3,No,,,NA,NA,NA,Employee did not resign
EMP00007,37,Male,Married,Sales,Account Manager,Business,5,Travel_Rarely,1,95480,16,19,8,6,0,2,0,Yes,0,3,1,3,2,2,3,Yes,Relocation and personal,Spouse's job transfer required relocation.,No,Not Applicable,No,"Non-negotiable personal/relocation factor, action could not change outcome"
EMP00008,30,Female,Divorced,Human Resources,HR Executive,Medical,4,Travel_Rarely,9,72666,13,12,1,0,0,6,5,No,0,3,3,2,1,2,3,No,,,NA,NA,NA,Employee did not resign
EMP00009,31,Female,Divorced,Sales,Sales Manager,Technical Degree,1,Travel_Rarely,8,64634,11,13,0,0,0,7,5,No,0,2,3,3,1,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00010,39,Female,Single,Sales,Sales Representative,Technical Degree,1,Travel_Rarely,13,42153,12,21,3,2,0,2,1,No,0,3,3,4,4,3,3,No,,,NA,NA,NA,Employee did not resign
EMP00011,20,Female,Divorced,Finance,Accountant,Business,2,Travel_Frequently,3,63617,19,28,22,21,1,7,2,No,0,3,4,3,2,1,4,No,,,NA,NA,NA,Employee did not resign
EMP00012,26,Male,Divorced,Human Resources,HR Manager,Human Resources,1,Non-Travel,5,61314,13,8,4,1,0,2,3,Yes,0,2,3,2,4,3,3,Yes,Managerial and team conflict,Cited lack of support and recognition from team lead.,Yes,Manager Change,No,Offer came too late; decision was already final
EMP00013,25,Male,Single,IT,System Analyst,Other,4,Travel_Rarely,3,49052,19,15,14,8,4,4,5,No,2,3,3,3,1,4,4,No,,,NA,NA,NA,Employee did not resign
EMP00014,42,Male,Divorced,Human Resources,Recruiter,Business,1,Travel_Rarely,6,37110,11,24,5,4,0,6,5,Yes,0,2,3,3,4,4,3,No,,,NA,NA,NA,Employee did not resign
